YEAR,STATE,EVTYPE,COUNT,FATALITIES
1985,maryland,HAIL,4,0
1986,maryland,THUNDERSTORM / THUNDERSTORM WIND,26,1
1986,maryland,HAIL,2,0
1987,maryland,THUNDERSTORM / THUNDERSTORM WIND,6,0
1987,maryland,HAIL,3,0
1988,maryland,THUNDERSTORM / THUNDERSTORM WIND,24,0
1988,maryland,HAIL,9,0
1989,maryland,THUNDERSTORM / THUNDERSTORM WIND,65,0
1989,maryland,HAIL,4,0
1989,maryland,TORNADO,1,0
1990,maryland,THUNDERSTORM / THUNDERSTORM WIND,87,2
1990,maryland,HAIL,13,0
1990,maryland,TORNADO,10,0
1991,maryland,THUNDERSTORM / THUNDERSTORM WIND,82,0
1991,maryland,HAIL,19,0
1991,maryland,TORNADO,1,0
1992,maryland,THUNDERSTORM / THUNDERSTORM WIND,83,0
1992,maryland,TORNADO,13,0
1951,massachusetts,TORNADO,2,0
1953,massachusetts,TORNADO,4,90
1954,massachusetts,TORNADO,2,0
1955,massachusetts,HAIL,4,0
1955,massachusetts,TORNADO,4,0
1956,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,11,0
1956,massachusetts,TORNADO,10,0
1956,massachusetts,HAIL,3,0
1957,massachusetts,TORNADO,7,0
1957,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,10,0
1957,massachusetts,HAIL,7,0
1958,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,9,0
1958,massachusetts,TORNADO,12,1
1958,massachusetts,HAIL,3,0
1959,massachusetts,HAIL,4,0
1959,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,6,0
1960,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,6,0
1960,massachusetts,HAIL,2,0
1960,massachusetts,TORNADO,1,0
1961,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,5,0
1961,massachusetts,HAIL,5,0
1961,massachusetts,TORNADO,3,0
1962,massachusetts,HAIL,4,0
1962,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,6,0
1962,massachusetts,TORNADO,2,0
1963,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,5,0
1963,massachusetts,TORNADO,8,0
1963,massachusetts,HAIL,4,0
1964,massachusetts,TORNADO,5,0
1964,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,6,0
1964,massachusetts,HAIL,4,0
1965,massachusetts,TORNADO,4,0
1965,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,9,0
1965,massachusetts,HAIL,4,0
1966,massachusetts,TORNADO,5,0
1966,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,12,0
1966,massachusetts,HAIL,7,0
1967,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,1,0
1967,massachusetts,HAIL,1,0
1967,massachusetts,TORNADO,1,0
1968,massachusetts,HAIL,4,0
1968,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,10,0
1968,massachusetts,TORNADO,6,0
1969,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,11,0
1969,massachusetts,HAIL,3,0
1969,massachusetts,TORNADO,1,0
1970,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,12,0
1970,massachusetts,TORNADO,8,1
1970,massachusetts,HAIL,2,0
1971,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,14,0
1971,massachusetts,HAIL,2,0
1971,massachusetts,TORNADO,6,0
1972,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,6,0
1972,massachusetts,HAIL,5,0
1972,massachusetts,TORNADO,10,1
1973,massachusetts,HAIL,16,0
1973,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,24,0
1973,massachusetts,TORNADO,3,4
1974,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,10,0
1974,massachusetts,HAIL,4,0
1974,massachusetts,TORNADO,1,0
1975,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,1,0
1975,massachusetts,TORNADO,2,0
1976,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,20,0
1976,massachusetts,TORNADO,1,0
1977,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,4,0
1977,massachusetts,TORNADO,2,0
1978,massachusetts,TORNADO,1,0
1978,massachusetts,HAIL,1,0
1979,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,10,0
1979,massachusetts,HAIL,2,0
1979,massachusetts,TORNADO,2,2
1980,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,6,0
1981,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,14,0
1981,massachusetts,TORNADO,1,0
1981,massachusetts,HAIL,4,0
1982,massachusetts,HAIL,4,0
1982,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,3,0
1983,massachusetts,HAIL,2,0
1983,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,33,0
1983,massachusetts,TORNADO,2,0
1984,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,12,0
1984,massachusetts,HAIL,2,0
1984,massachusetts,TORNADO,3,0
1985,massachusetts,HAIL,15,0
1985,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,13,0
1985,massachusetts,TORNADO,1,0
1986,massachusetts,HAIL,5,0
1986,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,10,0
1986,massachusetts,TORNADO,3,0
1987,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,4,0
1987,massachusetts,HAIL,3,0
1988,massachusetts,HAIL,10,0
1988,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,49,0
1989,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,54,2
1989,massachusetts,HAIL,8,0
1989,massachusetts,TORNADO,7,0
1990,massachusetts,TORNADO,3,0
1990,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,9,0
1991,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,51,0
1991,massachusetts,HAIL,1,0
1991,massachusetts,TORNADO,1,0
1992,massachusetts,THUNDERSTORM / THUNDERSTORM WIND,23,0
1992,massachusetts,TORNADO,2,0
1951,michigan,TORNADO,8,1
1953,michigan,TORNADO,20,127
1954,michigan,TORNADO,12,0
1955,michigan,THUNDERSTORM / THUNDERSTORM WIND,12,0
1955,michigan,HAIL,8,0
1955,michigan,TORNADO,13,0
1956,michigan,HAIL,10,0
1956,michigan,TORNADO,34,24
1956,michigan,THUNDERSTORM / THUNDERSTORM WIND,26,0
1957,michigan,THUNDERSTORM / THUNDERSTORM WIND,15,0
1957,michigan,HAIL,4,0
1957,michigan,TORNADO,13,1
1958,michigan,TORNADO,7,0
1958,michigan,THUNDERSTORM / THUNDERSTORM WIND,18,0
1958,michigan,HAIL,5,0
1959,michigan,HAIL,5,0
1959,michigan,THUNDERSTORM / THUNDERSTORM WIND,15,0
1959,michigan,TORNADO,2,0
1960,michigan,TORNADO,6,0
1960,michigan,HAIL,7,0
1960,michigan,THUNDERSTORM / THUNDERSTORM WIND,31,0
1961,michigan,TORNADO,5,0
1961,michigan,HAIL,16,0
1961,michigan,THUNDERSTORM / THUNDERSTORM WIND,25,0
1962,michigan,HAIL,15,0
1962,michigan,THUNDERSTORM / THUNDERSTORM WIND,29,0
1962,michigan,TORNADO,5,0
1963,michigan,THUNDERSTORM / THUNDERSTORM WIND,37,0
1963,michigan,HAIL,22,0
1963,michigan,TORNADO,5,1
1964,michigan,THUNDERSTORM / THUNDERSTORM WIND,30,0
1964,michigan,TORNADO,14,11
1964,michigan,HAIL,5,0
1965,michigan,TORNADO,28,53
1965,michigan,THUNDERSTORM / THUNDERSTORM WIND,41,0
1965,michigan,HAIL,14,0
1966,michigan,THUNDERSTORM / THUNDERSTORM WIND,29,0
1966,michigan,TORNADO,11,0
1966,michigan,HAIL,11,0
1967,michigan,THUNDERSTORM / THUNDERSTORM WIND,36,0
1967,michigan,TORNADO,19,0
1967,michigan,HAIL,6,0
1968,michigan,TORNADO,21,1
1968,michigan,HAIL,19,0
1968,michigan,THUNDERSTORM / THUNDERSTORM WIND,69,0
1969,michigan,TORNADO,9,0
1969,michigan,HAIL,14,0
1969,michigan,THUNDERSTORM / THUNDERSTORM WIND,49,0
1970,michigan,THUNDERSTORM / THUNDERSTORM WIND,30,0
1970,michigan,TORNADO,3,0
1970,michigan,HAIL,16,0
1971,michigan,THUNDERSTORM / THUNDERSTORM WIND,45,0
1971,michigan,HAIL,15,0
1971,michigan,TORNADO,9,0
1972,michigan,TORNADO,17,0
1972,michigan,HAIL,6,0
1972,michigan,THUNDERSTORM / THUNDERSTORM WIND,12,0
1973,michigan,TORNADO,35,0
1973,michigan,THUNDERSTORM / THUNDERSTORM WIND,52,0
1973,michigan,HAIL,10,0
1974,michigan,THUNDERSTORM / THUNDERSTORM WIND,63,0
1974,michigan,TORNADO,43,3
1974,michigan,HAIL,31,0
1975,michigan,THUNDERSTORM / THUNDERSTORM WIND,118,0
1975,michigan,HAIL,38,0
1975,michigan,TORNADO,26,1
1976,michigan,TORNADO,42,3
1976,michigan,THUNDERSTORM / THUNDERSTORM WIND,78,0
1976,michigan,HAIL,21,0
1977,michigan,THUNDERSTORM / THUNDERSTORM WIND,32,0
1977,michigan,TORNADO,35,1
1977,michigan,HAIL,13,0
1978,michigan,THUNDERSTORM / THUNDERSTORM WIND,31,0
1978,michigan,TORNADO,19,0
1978,michigan,HAIL,21,0
1979,michigan,THUNDERSTORM / THUNDERSTORM WIND,56,0
1979,michigan,TORNADO,22,0
1979,michigan,HAIL,17,0
1980,michigan,HAIL,47,0
1980,michigan,THUNDERSTORM / THUNDERSTORM WIND,114,0
1980,michigan,TORNADO,19,5
1981,michigan,HAIL,17,0
1981,michigan,THUNDERSTORM / THUNDERSTORM WIND,26,0
1981,michigan,TORNADO,5,0
1982,michigan,THUNDERSTORM / THUNDERSTORM WIND,86,0
1982,michigan,TORNADO,23,1
1982,michigan,HAIL,15,0
1983,michigan,HAIL,46,0
1983,michigan,TORNADO,21,1
1983,michigan,THUNDERSTORM / THUNDERSTORM WIND,247,0
1984,michigan,THUNDERSTORM / THUNDERSTORM WIND,66,1
1984,michigan,TORNADO,25,0
1984,michigan,HAIL,27,0
1985,michigan,THUNDERSTORM / THUNDERSTORM WIND,126,0
1985,michigan,HAIL,65,0
1985,michigan,TORNADO,12,1
1986,michigan,HAIL,57,0
1986,michigan,THUNDERSTORM / THUNDERSTORM WIND,81,0
1986,michigan,TORNADO,30,0
1987,michigan,TORNADO,28,1
1987,michigan,THUNDERSTORM / THUNDERSTORM WIND,130,6
1987,michigan,HAIL,26,0
1988,michigan,THUNDERSTORM / THUNDERSTORM WIND,173,6
1988,michigan,TORNADO,30,1
1988,michigan,HAIL,66,0
1989,michigan,HAIL,39,0
1989,michigan,THUNDERSTORM / THUNDERSTORM WIND,89,1
1989,michigan,TORNADO,19,0
1990,michigan,THUNDERSTORM / THUNDERSTORM WIND,96,1
1990,michigan,HAIL,25,0
1990,michigan,TORNADO,23,0
1991,michigan,HAIL,72,0
1991,michigan,THUNDERSTORM / THUNDERSTORM WIND,279,4
1991,michigan,TORNADO,34,0
1992,michigan,THUNDERSTORM / THUNDERSTORM WIND,167,1
1992,michigan,TORNADO,21,0
1950,minnesota,TORNADO,1,0
1951,minnesota,TORNADO,4,6
1952,minnesota,TORNADO,11,0
1953,minnesota,TORNADO,10,9
1954,minnesota,TORNADO,7,0
1955,minnesota,TORNADO,12,2
1955,minnesota,THUNDERSTORM / THUNDERSTORM WIND,17,0
1955,minnesota,HAIL,11,0
1956,minnesota,TORNADO,9,0
1956,minnesota,THUNDERSTORM / THUNDERSTORM WIND,17,0
1956,minnesota,HAIL,20,0
1957,minnesota,TORNADO,16,0
1957,minnesota,THUNDERSTORM / THUNDERSTORM WIND,14,0
1957,minnesota,HAIL,9,0
1958,minnesota,TORNADO,14,2
1958,minnesota,THUNDERSTORM / THUNDERSTORM WIND,15,0
1958,minnesota,HAIL,17,0
1959,minnesota,HAIL,20,0
1959,minnesota,TORNADO,14,0
1959,minnesota,THUNDERSTORM / THUNDERSTORM WIND,21,0
1960,minnesota,HAIL,7,0
1960,minnesota,THUNDERSTORM / THUNDERSTORM WIND,21,0
1960,minnesota,TORNADO,7,0
1961,minnesota,HAIL,20,0
1961,minnesota,THUNDERSTORM / THUNDERSTORM WIND,14,0
1961,minnesota,TORNADO,8,0
1962,minnesota,HAIL,33,0
1962,minnesota,THUNDERSTORM / THUNDERSTORM WIND,30,0
1962,minnesota,TORNADO,15,0
1963,minnesota,HAIL,18,0
1963,minnesota,THUNDERSTORM / THUNDERSTORM WIND,15,0
1963,minnesota,TORNADO,7,0
1964,minnesota,TORNADO,23,0
1964,minnesota,THUNDERSTORM / THUNDERSTORM WIND,24,0
1964,minnesota,HAIL,21,0
1965,minnesota,HAIL,39,0
1965,minnesota,THUNDERSTORM / THUNDERSTORM WIND,24,0
1965,minnesota,TORNADO,38,13
1966,minnesota,THUNDERSTORM / THUNDERSTORM WIND,30,0
1966,minnesota,TORNADO,24,0
1966,minnesota,HAIL,17,0
1967,minnesota,THUNDERSTORM / THUNDERSTORM WIND,23,0
1967,minnesota,TORNADO,32,14
1967,minnesota,HAIL,26,0
1968,minnesota,TORNADO,40,10
1968,minnesota,HAIL,52,0
1968,minnesota,THUNDERSTORM / THUNDERSTORM WIND,57,0
1969,minnesota,THUNDERSTORM / THUNDERSTORM WIND,52,0
1969,minnesota,HAIL,5,0
1969,minnesota,TORNADO,30,15
1970,minnesota,TORNADO,15,0
1970,minnesota,HAIL,19,0
1970,minnesota,THUNDERSTORM / THUNDERSTORM WIND,44,0
1971,minnesota,TORNADO,24,0
1971,minnesota,HAIL,29,0
1971,minnesota,THUNDERSTORM / THUNDERSTORM WIND,48,0
1972,minnesota,HAIL,17,0
1972,minnesota,TORNADO,5,0
1972,minnesota,THUNDERSTORM / THUNDERSTORM WIND,10,0
1973,minnesota,HAIL,38,0
1973,minnesota,THUNDERSTORM / THUNDERSTORM WIND,72,0
1973,minnesota,TORNADO,22,1
1974,minnesota,HAIL,78,0
1974,minnesota,THUNDERSTORM / THUNDERSTORM WIND,108,0
1974,minnesota,TORNADO,14,0
1975,minnesota,HAIL,45,0
1975,minnesota,THUNDERSTORM / THUNDERSTORM WIND,88,0
1975,minnesota,TORNADO,14,2
1976,minnesota,TORNADO,14,1
1976,minnesota,HAIL,34,0
1976,minnesota,THUNDERSTORM / THUNDERSTORM WIND,62,0
1977,minnesota,HAIL,59,0
1977,minnesota,TORNADO,31,0
1977,minnesota,THUNDERSTORM / THUNDERSTORM WIND,67,0
1978,minnesota,THUNDERSTORM / THUNDERSTORM WIND,57,0
1978,minnesota,HAIL,50,0
1978,minnesota,TORNADO,28,4
1979,minnesota,HAIL,58,0
1979,minnesota,THUNDERSTORM / THUNDERSTORM WIND,118,0
1979,minnesota,TORNADO,26,0
1980,minnesota,HAIL,102,0
1980,minnesota,TORNADO,17,1
1980,minnesota,THUNDERSTORM / THUNDERSTORM WIND,134,0
1981,minnesota,TORNADO,46,1
1981,minnesota,HAIL,69,0
1981,minnesota,THUNDERSTORM / THUNDERSTORM WIND,59,0
1982,minnesota,HAIL,66,0
1982,minnesota,THUNDERSTORM / THUNDERSTORM WIND,106,0
1982,minnesota,TORNADO,21,0
1983,minnesota,THUNDERSTORM / THUNDERSTORM WIND,222,0
1983,minnesota,HAIL,45,0
1983,minnesota,TORNADO,20,0
1984,minnesota,HAIL,77,0
1984,minnesota,THUNDERSTORM / THUNDERSTORM WIND,148,2
1984,minnesota,TORNADO,30,1
1985,minnesota,HAIL,137,0
1985,minnesota,THUNDERSTORM / THUNDERSTORM WIND,102,0
1985,minnesota,TORNADO,35,0
1986,minnesota,HAIL,82,0
1986,minnesota,THUNDERSTORM / THUNDERSTORM WIND,101,0
1986,minnesota,TORNADO,20,0
1987,minnesota,HAIL,68,0
1987,minnesota,TORNADO,23,1
1987,minnesota,THUNDERSTORM / THUNDERSTORM WIND,116,0
1988,minnesota,THUNDERSTORM / THUNDERSTORM WIND,73,0
1988,minnesota,TORNADO,5,0
1988,minnesota,HAIL,49,0
1989,minnesota,THUNDERSTORM / THUNDERSTORM WIND,59,0
1989,minnesota,HAIL,103,0
1989,minnesota,TORNADO,12,0
1990,minnesota,HAIL,81,0
1990,minnesota,THUNDERSTORM / THUNDERSTORM WIND,123,0
1990,minnesota,TORNADO,13,0
1991,minnesota,TORNADO,38,1
1991,minnesota,THUNDERSTORM / THUNDERSTORM WIND,165,1
1991,minnesota,HAIL,114,0
1992,minnesota,THUNDERSTORM / THUNDERSTORM WIND,103,0
1992,minnesota,TORNADO,43,1
1950,mississippi,TORNADO,16,6
1951,mississippi,TORNADO,9,3
1952,mississippi,TORNADO,7,9
1953,mississippi,TORNADO,26,39
1954,mississippi,TORNADO,19,0
1955,mississippi,TORNADO,7,0
1955,mississippi,HAIL,1,0
1955,mississippi,THUNDERSTORM / THUNDERSTORM WIND,10,0
1956,mississippi,TORNADO,8,1
1956,mississippi,THUNDERSTORM / THUNDERSTORM WIND,8,0
1957,mississippi,THUNDERSTORM / THUNDERSTORM WIND,17,0
1957,mississippi,TORNADO,34,6
1957,mississippi,HAIL,1,0
1958,mississippi,TORNADO,23,13
1958,mississippi,HAIL,9,0
1958,mississippi,THUNDERSTORM / THUNDERSTORM WIND,8,0
1959,mississippi,THUNDERSTORM / THUNDERSTORM WIND,10,0
1959,mississippi,TORNADO,22,1
1959,mississippi,HAIL,1,0
1960,mississippi,HAIL,8,0
1960,mississippi,TORNADO,8,0
1960,mississippi,THUNDERSTORM / THUNDERSTORM WIND,10,0
1961,mississippi,TORNADO,21,0
1961,mississippi,THUNDERSTORM / THUNDERSTORM WIND,12,0
1961,mississippi,HAIL,1,0
1962,mississippi,TORNADO,14,1
1962,mississippi,HAIL,23,0
1962,mississippi,THUNDERSTORM / THUNDERSTORM WIND,8,0
1963,mississippi,THUNDERSTORM / THUNDERSTORM WIND,18,0
1963,mississippi,TORNADO,10,10
1963,mississippi,HAIL,4,0
1964,mississippi,HAIL,7,0
1964,mississippi,THUNDERSTORM / THUNDERSTORM WIND,36,0
1964,mississippi,TORNADO,5,0
1965,mississippi,TORNADO,22,0
1965,mississippi,THUNDERSTORM / THUNDERSTORM WIND,32,0
1965,mississippi,HAIL,17,0
1966,mississippi,TORNADO,38,58
1966,mississippi,THUNDERSTORM / THUNDERSTORM WIND,36,0
1966,mississippi,HAIL,11,0
1967,mississippi,THUNDERSTORM / THUNDERSTORM WIND,52,0
1967,mississippi,TORNADO,22,7
1967,mississippi,HAIL,11,0
1968,mississippi,HAIL,26,0
1968,mississippi,THUNDERSTORM / THUNDERSTORM WIND,68,0
1968,mississippi,TORNADO,23,1
1969,mississippi,HAIL,17,0
1969,mississippi,TORNADO,33,32
1969,mississippi,THUNDERSTORM / THUNDERSTORM WIND,48,0
1970,mississippi,THUNDERSTORM / THUNDERSTORM WIND,80,0
1970,mississippi,TORNADO,28,4
1970,mississippi,HAIL,16,0
1971,mississippi,THUNDERSTORM / THUNDERSTORM WIND,50,0
1971,mississippi,HAIL,22,0
1971,mississippi,TORNADO,56,118
1972,mississippi,TORNADO,36,0
1972,mississippi,HAIL,21,0
1972,mississippi,THUNDERSTORM / THUNDERSTORM WIND,48,0
1973,mississippi,TORNADO,46,2
1973,mississippi,THUNDERSTORM / THUNDERSTORM WIND,105,0
1973,mississippi,HAIL,23,0
1974,mississippi,THUNDERSTORM / THUNDERSTORM WIND,73,0
1974,mississippi,TORNADO,35,0
1974,mississippi,HAIL,26,0
1975,mississippi,THUNDERSTORM / THUNDERSTORM WIND,139,0
1975,mississippi,TORNADO,42,9
1975,mississippi,HAIL,34,0
1976,mississippi,THUNDERSTORM / THUNDERSTORM WIND,87,0
1976,mississippi,HAIL,42,0
1976,mississippi,TORNADO,50,5
1977,mississippi,TORNADO,37,2
1977,mississippi,THUNDERSTORM / THUNDERSTORM WIND,75,0
1977,mississippi,HAIL,15,0
1978,mississippi,HAIL,17,0
1978,mississippi,THUNDERSTORM / THUNDERSTORM WIND,65,0
1978,mississippi,TORNADO,19,5
1979,mississippi,THUNDERSTORM / THUNDERSTORM WIND,62,0
1979,mississippi,HAIL,13,0
1979,mississippi,TORNADO,6,0
1980,mississippi,THUNDERSTORM / THUNDERSTORM WIND,39,0
1980,mississippi,TORNADO,38,2
1980,mississippi,HAIL,22,0
1981,mississippi,THUNDERSTORM / THUNDERSTORM WIND,46,0
1981,mississippi,TORNADO,7,0
1981,mississippi,HAIL,23,0
1982,mississippi,TORNADO,22,4
1982,mississippi,THUNDERSTORM / THUNDERSTORM WIND,82,0
1982,mississippi,HAIL,19,0
1983,mississippi,THUNDERSTORM / THUNDERSTORM WIND,121,0
1983,mississippi,TORNADO,23,0
1983,mississippi,HAIL,25,0
1984,mississippi,THUNDERSTORM / THUNDERSTORM WIND,85,0
1984,mississippi,HAIL,49,0
1984,mississippi,TORNADO,21,15
1985,mississippi,THUNDERSTORM / THUNDERSTORM WIND,123,0
1985,mississippi,TORNADO,21,0
1985,mississippi,HAIL,84,0
1986,mississippi,THUNDERSTORM / THUNDERSTORM WIND,51,0
1986,mississippi,HAIL,94,0
1986,mississippi,TORNADO,48,0
1987,mississippi,THUNDERSTORM / THUNDERSTORM WIND,134,0
1987,mississippi,TORNADO,48,6
1987,mississippi,HAIL,48,0
1988,mississippi,HAIL,130,0
1988,mississippi,THUNDERSTORM / THUNDERSTORM WIND,177,0
1988,mississippi,TORNADO,67,2
1989,mississippi,TORNADO,37,0
1989,mississippi,HAIL,125,0
1989,mississippi,THUNDERSTORM / THUNDERSTORM WIND,199,0
1990,mississippi,THUNDERSTORM / THUNDERSTORM WIND,249,2
1990,mississippi,HAIL,58,0
1990,mississippi,TORNADO,25,3
1991,mississippi,THUNDERSTORM / THUNDERSTORM WIND,236,0
1991,mississippi,HAIL,134,0
1991,mississippi,TORNADO,13,0
1992,mississippi,TORNADO,70,18
1992,mississippi,THUNDERSTORM / THUNDERSTORM WIND,211,0
1950,missouri,TORNADO,6,0
1951,missouri,TORNADO,6,0
1952,missouri,TORNADO,11,18
1953,missouri,TORNADO,6,0
1954,missouri,TORNADO,40,2
1955,missouri,HAIL,27,0
1955,missouri,TORNADO,34,0
1955,missouri,THUNDERSTORM / THUNDERSTORM WIND,16,0
1956,missouri,TORNADO,24,0
1956,missouri,HAIL,19,0
1956,missouri,THUNDERSTORM / THUNDERSTORM WIND,50,0
1957,missouri,THUNDERSTORM / THUNDERSTORM WIND,52,0
1957,missouri,TORNADO,48,56
1957,missouri,HAIL,20,0
1958,missouri,THUNDERSTORM / THUNDERSTORM WIND,88,0
1958,missouri,HAIL,25,0
1958,missouri,TORNADO,38,2
1959,missouri,TORNADO,39,21
1959,missouri,THUNDERSTORM / THUNDERSTORM WIND,47,0
1959,missouri,HAIL,40,0
1960,missouri,TORNADO,39,0
1960,missouri,THUNDERSTORM / THUNDERSTORM WIND,25,0
1960,missouri,HAIL,30,0
1961,missouri,THUNDERSTORM / THUNDERSTORM WIND,46,0
1961,missouri,HAIL,48,0
1961,missouri,TORNADO,43,1
1962,missouri,TORNADO,22,0
1962,missouri,THUNDERSTORM / THUNDERSTORM WIND,48,0
1962,missouri,HAIL,35,0
1963,missouri,HAIL,40,0
1963,missouri,THUNDERSTORM / THUNDERSTORM WIND,36,0
1963,missouri,TORNADO,16,1
1964,missouri,THUNDERSTORM / THUNDERSTORM WIND,64,0
1964,missouri,HAIL,42,0
1964,missouri,TORNADO,26,2
1965,missouri,HAIL,39,0
1965,missouri,TORNADO,30,0
1965,missouri,THUNDERSTORM / THUNDERSTORM WIND,77,0
1966,missouri,THUNDERSTORM / THUNDERSTORM WIND,55,0
1966,missouri,HAIL,71,0
1966,missouri,TORNADO,40,0
1967,missouri,TORNADO,76,8
1967,missouri,HAIL,49,0
1967,missouri,THUNDERSTORM / THUNDERSTORM WIND,43,0
1968,missouri,THUNDERSTORM / THUNDERSTORM WIND,60,0
1968,missouri,HAIL,43,0
1968,missouri,TORNADO,32,0
1969,missouri,TORNADO,26,6
1969,missouri,HAIL,58,0
1969,missouri,THUNDERSTORM / THUNDERSTORM WIND,104,0
1970,missouri,HAIL,71,0
1970,missouri,TORNADO,38,0
1970,missouri,THUNDERSTORM / THUNDERSTORM WIND,107,0
1971,missouri,TORNADO,44,3
1971,missouri,THUNDERSTORM / THUNDERSTORM WIND,85,0
1971,missouri,HAIL,53,0
1972,missouri,TORNADO,14,0
1972,missouri,THUNDERSTORM / THUNDERSTORM WIND,48,0
1972,missouri,HAIL,35,0
1973,missouri,TORNADO,87,8
1973,missouri,THUNDERSTORM / THUNDERSTORM WIND,158,0
1973,missouri,HAIL,64,0
1974,missouri,HAIL,70,0
1974,missouri,THUNDERSTORM / THUNDERSTORM WIND,136,0
1974,missouri,TORNADO,20,0
1975,missouri,THUNDERSTORM / THUNDERSTORM WIND,128,0
1975,missouri,HAIL,100,0
1975,missouri,TORNADO,21,5
1976,missouri,THUNDERSTORM / THUNDERSTORM WIND,61,0
1976,missouri,TORNADO,15,2
1976,missouri,HAIL,48,0
1977,missouri,THUNDERSTORM / THUNDERSTORM WIND,97,0
1977,missouri,TORNADO,22,3
1977,missouri,HAIL,55,0
1978,missouri,THUNDERSTORM / THUNDERSTORM WIND,118,0
1978,missouri,HAIL,47,0
1978,missouri,TORNADO,10,0
1979,missouri,THUNDERSTORM / THUNDERSTORM WIND,92,0
1979,missouri,HAIL,31,0
1979,missouri,TORNADO,11,0
1980,missouri,THUNDERSTORM / THUNDERSTORM WIND,133,0
1980,missouri,HAIL,57,0
1980,missouri,TORNADO,15,0
1981,missouri,THUNDERSTORM / THUNDERSTORM WIND,155,0
1981,missouri,HAIL,78,0
1981,missouri,TORNADO,37,3
1982,missouri,THUNDERSTORM / THUNDERSTORM WIND,255,0
1982,missouri,TORNADO,93,4
1982,missouri,HAIL,203,0
1983,missouri,HAIL,139,0
1983,missouri,TORNADO,23,1
1983,missouri,THUNDERSTORM / THUNDERSTORM WIND,118,0
1984,missouri,THUNDERSTORM / THUNDERSTORM WIND,157,0
1984,missouri,HAIL,184,0
1984,missouri,TORNADO,43,3
1985,missouri,HAIL,140,0
1985,missouri,THUNDERSTORM / THUNDERSTORM WIND,99,0
1985,missouri,TORNADO,15,0
1986,missouri,HAIL,79,0
1986,missouri,THUNDERSTORM / THUNDERSTORM WIND,104,1
1986,missouri,TORNADO,21,1
1987,missouri,THUNDERSTORM / THUNDERSTORM WIND,166,0
1987,missouri,HAIL,73,0
1987,missouri,TORNADO,6,0
1988,missouri,HAIL,95,0
1988,missouri,THUNDERSTORM / THUNDERSTORM WIND,116,0
1988,missouri,TORNADO,20,1
1989,missouri,HAIL,109,0
1989,missouri,THUNDERSTORM / THUNDERSTORM WIND,57,0
1989,missouri,TORNADO,13,0
1990,missouri,THUNDERSTORM / THUNDERSTORM WIND,72,0
1990,missouri,TORNADO,33,0
1990,missouri,HAIL,85,0
1991,missouri,TORNADO,19,2
1991,missouri,HAIL,183,0
1991,missouri,THUNDERSTORM / THUNDERSTORM WIND,128,0
1992,missouri,TORNADO,24,0
1992,missouri,THUNDERSTORM / THUNDERSTORM WIND,177,0
1952,montana,TORNADO,2,1
1953,montana,TORNADO,5,0
1954,montana,TORNADO,4,0
1955,montana,HAIL,11,0
1955,montana,THUNDERSTORM / THUNDERSTORM WIND,2,0
1955,montana,TORNADO,3,0
1956,montana,THUNDERSTORM / THUNDERSTORM WIND,5,0
1956,montana,HAIL,15,0
1957,montana,HAIL,20,0
1957,montana,THUNDERSTORM / THUNDERSTORM WIND,15,0
1957,montana,TORNADO,1,0
1958,montana,HAIL,76,0
1958,montana,TORNADO,4,0
1958,montana,THUNDERSTORM / THUNDERSTORM WIND,8,0
1959,montana,HAIL,15,0
1959,montana,THUNDERSTORM / THUNDERSTORM WIND,10,0
1959,montana,TORNADO,3,0
